,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
194,2016,Ben Gibson,0.0,0,1682.0,0.0,221.0,11.0,0.0,0.0,0.0,0.0,2150.0,3420.0
195,2015,Ben Watson,0.0,0,1436.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,1952.0,0.0
196,2011,Benoit Assou-Ekotto,0.0,0,2018.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2854.0,0.0
197,2012,Bradley Johnson,0.0,0,1663.0,0.0,0.0,10.0,93.0,0.0,0.0,0.0,2163.0,0.0
198,2014,Branislav Ivanovic,0.0,0,1499.0,0.0,137.0,17.0,88.0,0.0,0.0,5.0,2470.0,0.0
199,2013,Branislav Ivanovic,0.0,0,1522.0,0.0,179.0,16.0,65.0,0.0,0.0,0.0,2442.0,0.0
200,2012,Branislav Ivanovic,0.0,0,1327.0,0.0,196.0,12.0,0.0,0.0,0.0,0.0,1945.0,0.0
201,2015,Branislav Ivanovic,0.0,0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0
202,2012,Brede Hangeland,0.0,0,1530.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,2137.0,0.0
203,2016,Charlie Daniels,0.0,0,1616.0,0.0,0.0,10.0,58.0,0.0,0.0,0.0,2377.0,3060.0
204,2015,Charlie Daniels,0.0,0,1692.0,0.0,0.0,0.0,75.0,0.0,0.0,5.0,2698.0,0.0
205,2013,Cheick Tioté,0.0,0,2092.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,2726.0,0.0
206,2011,Cheick Tioté,0.0,0,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,0.0
207,2013,Chico,0.0,0,1827.0,0.0,202.0,0.0,78.0,0.0,0.0,0.0,2353.0,0.0
208,2012,Chico,0.0,0,1478.0,0.0,226.0,0.0,85.0,0.0,0.0,0.0,1989.0,0.0
209,2011,Clint Dempsey,0.0,0,1305.0,0.0,0.0,0.0,0.0,17.0,146.0,6.0,1896.0,0.0
210,2016,Daniel Drinkwater,0.0,0,1745.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2193.0,0.0
211,2015,Daniel Drinkwater,0.0,0,1984.0,0.0,0.0,14.0,106.0,0.0,0.0,7.0,2541.0,0.0
212,2011,Danny Murphy,0.0,0,2159.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2570.0,0.0
213,2011,David Fox,0.0,0,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0
